X,Y,profundidad,pis,ce
751338.3107,1552216.757,1,3,60.90403
751420.695,1552311.652,1,3,40.30792
751470.6464,1552342.03,1,3,53.1317
751720.6806,1552575.169,1,3,40.40554
751333.9056,1552334.816,1,4,62.1237
751392.6545,1552393.617,1,4,55.40879
751396.4993,1552332.445,1,4,69.15614
751396.0865,1552297.574,1,4,51.43141
751393.2635,1552244.084,1,4,51.54057
751396.0237,1552216.218,1,4,45.69163
751448.2014,1552360.626,1,4,32.99211
751451.5889,1552269.121,1,4,39.36227
751503.362,1552290.108,1,4,61.93895
751550.1187,1552392.402,1,4,64.11908
751333.9056,1552334.816,2,4,62.1237
751364.4584,1552239.152,2,4,65.11581
751396.4993,1552332.445,2,4,69.15614
751396.0237,1552216.218,2,4,45.69163
751448.2014,1552360.626,2,4,32.99211
751451.5889,1552269.121,2,4,39.36227
751500.1164,1552443.932,2,4,62.82069
751695.8442,1552419.961,2,4,42.61745
751752.0555,1552483.94,2,4,80.97194
751393.6798,1552454.062,1,5,38.48
751423.003,1552241.942,1,5,45.14822
751423.5489,1552274.268,1,5,41.06607
751451.3107,1552297.343,1,5,47.59519
751358.7444,1552490.023,2,5,33.60981
751393.6798,1552454.062,2,5,38.48
751423.003,1552241.942,2,5,45.14822
751423.5489,1552274.268,2,5,41.06607
751499.7366,1552482.447,2,5,34.32135
751550.1187,1552392.402,2,5,64.11908
751666.8484,1552598.657,2,5,45.44967
751307.0611,1552459.96,1,6,25.05035
751428.3727,1552365.965,1,6,56.9007
751470.3911,1552367.929,1,6,34.6588
751666.3735,1552394.877,1,6,49.21809
751666.3735,1552394.877,2,6,49.21809
751550.1187,1552392.402,3,6,64.11908
751840.2276,1552484.921,3,6,95.83588
751398.9296,1552425.778,1,7,48.78919
751430.618,1552390.338,1,7,41.96336
751398.9296,1552425.778,2,7,48.78919
751430.618,1552390.338,2,7,41.96336
751470.6464,1552342.03,2,7,53.1317
751724.0681,1552483.775,2,7,72.215
751750.8939,1552514.036,2,7,79.79908
751750.8939,1552514.036,3,7,79.79908
751332.7415,1552277.469,1,8,67.61144
751332.7415,1552277.469,2,8,67.61144
751393.2635,1552244.084,2,8,51.54057
751428.3727,1552365.965,2,8,56.9007
751396.0237,1552216.218,3,8,45.69163
751430.618,1552390.338,3,8,41.96336
751451.5889,1552269.121,3,8,39.36227
751472.294,1552514.719,2,9,32.03995
751503.362,1552290.108,2,9,61.93895
751692.6595,1552567.476,2,9,33.42708
751398.9296,1552425.778,3,9,48.78919
751471.0288,1552467.664,3,9,63.61342
751472.294,1552514.719,3,9,32.03995
751503.362,1552290.108,3,9,61.93895
751606.3433,1552542.716,3,9,37.04109
751838.2888,1552517.112,3,9,100.9492
751398.9296,1552425.778,4,9,48.78919
751503.362,1552290.108,4,9,61.93895
751606.3433,1552542.716,4,9,37.04109
751451.8435,1552330.998,1,10,56.34968
751451.8435,1552330.998,2,10,56.34968
751451.3107,1552297.343,2,10,47.59519
751748.3861,1552603.889,2,10,67.06578
751358.7444,1552490.023,3,10,33.60981
751428.3727,1552365.965,3,10,56.9007
751501.593,1552381.851,3,10,43.44049
751501.2839,1552325.508,3,10,82.49435
751720.6806,1552575.169,3,10,40.40554
751748.3861,1552603.889,3,10,67.06578
751501.593,1552381.851,4,10,43.44049
751501.2839,1552325.508,4,10,82.49435
751720.6806,1552575.169,4,10,40.40554
751451.2719,1552388.992,1,11,65.33939
751450.8968,1552251.626,1,11,58.40847
751754.835,1552541.746,3,11,71.12646
751471.0288,1552467.664,4,11,63.61342
751754.835,1552541.746,4,11,71.12646
751470.3911,1552367.929,2,12,34.6588
751451.8435,1552330.998,3,12,56.34968
751470.3911,1552367.929,3,12,34.6588
751397.2394,1552509.551,4,12,36.982
751430.618,1552390.338,4,12,41.96336
751451.8435,1552330.998,4,12,56.34968
751470.3911,1552367.929,4,12,34.6588
751724.1047,1552392.458,4,12,71.93612
751304.0326,1552185.98,1,13,54.77848
751360.4518,1552393.521,1,13,54.7723
751450.1249,1552417.649,1,13,61.41496
751472.3352,1552422.849,1,13,62.98019
751667.7213,1552422.562,1,13,52.37445
751360.4518,1552393.521,2,13,54.7723
751472.3352,1552422.849,2,13,62.98019
751785.3954,1552609.678,2,13,50.51663
751393.2635,1552244.084,3,13,51.54057
751472.3352,1552422.849,3,13,62.98019
751785.3954,1552609.678,3,13,50.51663
751470.4667,1552447.956,1,14,62.211
751396.0865,1552297.574,2,14,51.43141
751451.2719,1552388.992,2,14,65.33939
751396.0865,1552297.574,3,14,51.43141
751471.8163,1552311.049,5,14,75.74249
751501.593,1552381.851,5,14,43.44049
751450.8968,1552251.626,2,15,58.40847
751785.4152,1552695.24,2,15,50.00935
751507.831,1552505.439,3,15,18.85148
751507.831,1552505.439,4,15,18.85148
751818.2708,1552454.044,4,15,82.38609
751335.5616,1552243.516,1,16,65.16834
751450.4329,1552474.102,1,16,52.15645
751450.4329,1552474.102,2,16,52.15645
751450.1249,1552417.649,2,16,61.41496
751306.6045,1552429.517,4,16,22.6686
751472.294,1552514.719,4,16,32.03995
751470.3911,1552367.929,5,16,34.6588
751423.3939,1552454.466,1,17,39.81823
751560.1296,1552297.752,1,17,88.30493
751470.4667,1552447.956,2,17,62.211
751306.6045,1552429.517,5,17,22.6686
751503.362,1552290.108,5,17,61.93895
751333.9056,1552334.816,3,18,62.1237
751666.3735,1552394.877,3,18,49.21809
751333.9056,1552334.816,4,18,62.1237
751333.9056,1552334.816,5,18,62.1237
751335.2448,1552451.162,1,19,25.06894
751554.7607,1552338.1,1,19,91.48444
751554.7607,1552338.1,2,19,91.48444
751509.9899,1552538.556,3,19,18.34288
751640.342,1552360.75,3,19,46.54514
751509.9899,1552538.556,4,19,18.34288
751396.4993,1552332.445,5,19,69.15614
751509.9899,1552538.556,5,19,18.34288
751396.4993,1552332.445,6,19,69.15614
751307.2131,1552279.985,1,20,46.43465
751421.1109,1552521.63,2,20,30.00345
751608.4063,1552508.866,2,20,33.72309
751421.1109,1552521.63,3,20,30.00345
751450.4329,1552474.102,3,20,52.15645
751450.1249,1552417.649,3,20,61.41496
751451.2719,1552388.992,3,20,65.33939
751421.1109,1552521.63,4,20,30.00345
751450.4329,1552474.102,4,20,52.15645
751363.5049,1552423.658,1,21,49.62549
751363.5049,1552423.658,2,21,49.62549
751606.3433,1552542.716,5,21,37.04109
751470.4667,1552447.956,3,22,62.211
751690.7662,1552507.465,4,22,41.77872
751690.7662,1552507.465,5,22,41.77872
751364.117,1552273.793,1,23,73.13081
751451.4729,1552445.334,1,23,58.79009
751467.7399,1552384.727,1,23,54.93116
751726.0253,1552449.702,2,23,75.47675
751785.1135,1552638.233,2,23,61.14419
751785.1135,1552638.233,3,23,61.14419
751507.831,1552505.439,5,23,18.85148
751395.0356,1552480.972,1,24,26.7612
751471.1589,1552542.158,1,24,34.0703
751605.3042,1552571.374,4,24,33.26878
751453.3472,1552507.337,3,25,34.53142
751554.7607,1552338.1,3,25,91.48444
751453.3472,1552507.337,4,25,34.53142
751398.9296,1552425.778,5,25,48.78919
751472.294,1552514.719,5,25,32.03995
751451.8435,1552330.998,6,25,56.34968
751472.294,1552514.719,6,25,32.03995
751368.8066,1552214.622,1,26,41.56114
751368.8066,1552214.622,2,26,41.56114
751448.2014,1552360.626,3,26,32.99211
751448.2014,1552360.626,4,26,32.99211
751816.6108,1552545.566,4,26,85.48864
751448.2014,1552360.626,5,26,32.99211
751816.6108,1552545.566,5,26,85.48864
751499.7366,1552482.447,1,27,34.32135
751500.1164,1552443.932,1,27,62.82069
751667.7213,1552422.562,2,27,52.37445
751451.3107,1552297.343,3,27,47.59519
751720.8679,1552632.839,3,27,49.43953
751450.1249,1552417.649,4,27,61.41496
751451.3107,1552297.343,4,27,47.59519
751720.8679,1552632.839,4,27,49.43953
751450.1249,1552417.649,5,27,61.41496
751451.3107,1552297.343,5,27,47.59519
751720.8679,1552632.839,5,27,49.43953
751333.9056,1552334.816,6,27,62.1237
751334.9638,1552391.941,1,28,47.16967
751668.438,1552514.218,1,28,49.54315
751364.117,1552273.793,2,28,73.13081
751668.438,1552514.218,2,28,49.54315
751472.3352,1552422.849,4,28,62.98019
751472.3352,1552422.849,5,28,62.98019
751467.7399,1552384.727,2,29,54.93116
751560.1296,1552297.752,2,29,88.30493
751693.8412,1552447.724,2,29,43.97719
751693.8412,1552447.724,3,29,43.97719
751395.0356,1552480.972,2,30,26.7612
751549.8633,1552418.3,2,31,52.69392
751840.3458,1552724.671,2,31,66.70672
751549.8633,1552418.3,3,31,52.69392
751668.438,1552514.218,3,31,49.54315
751753.0955,1552630.39,3,31,71.41389
751549.8633,1552418.3,4,31,52.69392
751337.8847,1552183.214,3,32,66.16179
751337.8847,1552183.214,4,32,66.16179
751396.0865,1552297.574,4,32,51.43141
751337.8847,1552183.214,5,32,66.16179
751337.8847,1552183.214,6,32,66.16179
751471.0288,1552467.664,7,32,63.61342
751337.8847,1552183.214,1,33,66.16179
751359.1145,1552364.729,1,33,56.57169
751549.8633,1552418.3,1,33,52.69392
751337.8847,1552183.214,2,33,66.16179
751364.117,1552273.793,3,33,73.13081
751666.8484,1552598.657,3,33,45.44967
751364.117,1552273.793,4,33,73.13081
751507.831,1552505.439,6,33,18.85148
751364.0443,1552456.648,1,34,35.49953
751453.3472,1552507.337,1,34,34.53142
751552.8528,1552367.192,1,34,78.15452
751364.0443,1552456.648,2,34,35.49953
751453.3472,1552507.337,2,34,34.53142
751722.1726,1552423.985,2,34,71.07343
751393.2635,1552244.084,4,34,51.54057
751393.2635,1552244.084,5,34,51.54057
751393.2635,1552244.084,6,34,51.54057
751393.2635,1552244.084,7,34,51.54057
751467.7399,1552384.727,3,36,54.93116
751467.7399,1552384.727,4,36,54.93116
751720.3923,1552604.388,5,36,48.5825
751448.2014,1552360.626,6,36,32.99211
751448.2014,1552360.626,7,36,32.99211
751426.1355,1552428.481,1,37,54.18403
751669.9183,1552451.805,3,37,44.48915
751428.3727,1552365.965,4,37,56.9007
751428.3727,1552365.965,5,37,56.9007
751428.3727,1552365.965,6,37,56.9007
751694.3905,1552392.054,6,37,41.14644
751397.2394,1552509.551,7,37,36.982
751428.3727,1552365.965,7,37,56.9007
751694.3905,1552392.054,7,37,41.14644
751547.3835,1552417.722,1,38,55.03766
751690.4489,1552627.226,3,38,40.18888
751690.4489,1552627.226,4,38,40.18888
751787.7751,1552456.178,4,38,57.73359
751787.7751,1552456.178,5,38,57.73359
751782.4214,1552582.53,5,38,62.04844
751607.5944,1552415.881,1,39,56.76267
751502.7815,1552348.988,2,39,89.5399
751502.7815,1552348.988,3,39,89.5399
751692.6595,1552567.476,3,39,33.42708
751689.6854,1552540.329,3,39,50.76027
751502.7815,1552348.988,4,39,89.5399
751689.6854,1552540.329,4,39,50.76027
751787.3201,1552666.48,4,40,66.0803
751550.1187,1552392.402,5,40,64.11908
751550.1187,1552392.402,6,40,64.11908
751550.1187,1552392.402,7,40,64.11908
751507.831,1552505.439,1,41,18.85148
751359.1145,1552364.729,2,41,56.57169
751507.831,1552505.439,2,41,18.85148
751666.53,1552543.31,2,41,36.78133
751451.3107,1552297.343,6,41,47.59519
751470.3911,1552367.929,8,41,34.6588
751332.7415,1552277.469,3,42,67.61144
751363.5049,1552423.658,3,43,49.62549
751609.0253,1552446.113,3,43,72.38161
751609.0253,1552446.113,4,43,72.38161
751473.3253,1552486.836,2,44,35.51912
751784.9763,1552487.918,2,44,51.85411
751473.3253,1552486.836,3,44,35.51912
751451.5889,1552269.121,6,44,39.36227
751507.831,1552505.439,7,44,18.85148
751426.1355,1552428.481,2,45,54.18403
751636.9742,1552537.816,2,45,27.5002
751724.1047,1552392.458,6,45,71.93612
751334.6519,1552423.595,8,45,43.88366
751726.0253,1552449.702,3,46,75.47675
751502.7815,1552348.988,5,46,89.5399
751502.7815,1552348.988,6,46,89.5399
751502.7815,1552348.988,7,46,89.5399
751502.7815,1552348.988,8,46,89.5399
751666.3735,1552394.877,4,47,49.21809
751720.8679,1552632.839,6,47,49.43953
751607.5944,1552415.881,7,47,56.76267
751720.8679,1552632.839,7,47,49.43953
751359.1145,1552364.729,3,48,56.57169
751359.1145,1552364.729,4,48,56.57169
751625.4543,1552358.168,4,48,67.01688
751625.4543,1552358.168,5,48,67.01688
751450.1249,1552417.649,6,48,61.41496
751814.5849,1552663.207,6,48,36.68398
751450.1249,1552417.649,7,48,61.41496
751814.5849,1552663.207,7,48,36.68398
751810.2153,1552602.286,8,48,34.56322
751337.7184,1552364.629,1,49,52.87066
751337.7184,1552364.629,2,49,52.87066
751335.5616,1552243.516,2,49,65.16834
751753.3045,1552696.804,2,49,46.51556
751753.3045,1552696.804,3,49,46.51556
751842.3313,1552446.976,4,49,85.08863
751338.3107,1552216.757,5,49,60.90403
751338.3107,1552216.757,6,49,60.90403
751338.3107,1552216.757,7,49,60.90403
751547.3835,1552417.722,2,51,55.03766
751364.0443,1552456.648,3,51,35.49953
751547.3835,1552417.722,3,51,55.03766
751724.0681,1552483.775,3,51,72.215
751547.3835,1552417.722,4,51,55.03766
751420.695,1552311.652,3,52,40.30792
751426.1355,1552428.481,3,52,54.18403
751420.695,1552311.652,4,52,40.30792
751426.1355,1552428.481,4,52,54.18403
751452.1959,1552547.395,4,52,37.30615
751669.9183,1552451.805,4,52,44.48915
751420.695,1552311.652,5,52,40.30792
751427.7897,1552337.402,5,52,15.99378
751452.1959,1552547.395,5,52,37.30615
751427.7897,1552337.402,6,52,15.99378
751427.7897,1552337.402,7,52,15.99378
751334.6519,1552423.595,1,53,43.88366
751334.6519,1552423.595,2,53,43.88366
751513.4122,1552268.181,2,53,69.75404
751841.7731,1552667.681,6,53,64.7401
751841.7731,1552667.681,7,53,64.7401
751841.7731,1552667.681,8,53,64.7401
751841.7731,1552667.681,9,53,64.7401
751839.3403,1552574.791,4,55,72.79045
751450.4329,1552474.102,5,55,52.15645
751547.3835,1552417.722,5,55,55.03766
751450.4329,1552474.102,6,55,52.15645
751547.3835,1552417.722,6,55,55.03766
751450.4329,1552474.102,7,55,52.15645
751450.4329,1552474.102,8,55,52.15645
751360.2788,1552334.301,9,55,62.42502
751450.4329,1552474.102,9,55,52.15645
751301.6746,1552249.823,2,56,43.68419
751843.0977,1552697.691,2,56,66.99783
751815.2586,1552430.77,3,56,79.06496
751692.6595,1552567.476,4,56,33.42708
751450.1249,1552417.649,8,56,61.41496
751470.4667,1552447.956,4,57,62.211
751470.4667,1552447.956,5,57,62.211
751507.831,1552505.439,8,58,18.85148
751507.831,1552505.439,9,58,18.85148
751838.2888,1552517.112,4,59,100.9492
751472.294,1552514.719,8,59,32.03995
751472.294,1552514.719,9,59,32.03995
751638.9011,1552419.178,2,60,63.63601
751364.4584,1552239.152,7,60,65.11581
751364.4584,1552239.152,8,60,65.11581
751501.593,1552381.851,1,61,43.44049
751501.593,1552381.851,2,61,43.44049
751513.4122,1552268.181,3,61,69.75404
751513.4122,1552268.181,4,61,69.75404
751513.4122,1552268.181,5,61,69.75404
751368.8066,1552214.622,6,61,41.56114
